niveau,genre,sentiment_global,confiance_adultes,sentiment_securite,participation_projets,liberte_expression,ecoute_et_soutien,envie_venir,relation_famille_etab,confiance_dialogue_extrait,projets_participes,lieux_expression_libre,changements_souhaites,moments_agreables,moments_desagreables,lieux_agreables,lieux_desagreables,cluster_kmeans
5e,Garçon,2,2,2,2,3,2,1,2,[],['sport'],['la cour'],"['kiosk', 'chocolat']","[""s'amuse""]",['évaluation surprise'],[],[],0
5e,Fille,3,2,2,0,1,0,3,1,[],[],[],['sorties'],[],[],['salle de classe'],[],3
6e,Fille,2,2,1,3,2,1,2,1,['problèmes'],['projet pédagogiques'],[],"['caméras', 'sécurité']",['amies'],"['triste', 'rejeter']",['ccc'],['salle de classe'],0
4e,Garçon,2,1,3,1,2,0,1,2,['communication'],['sport'],[],[],['vacances'],[],[],[],3
6e,Fille,2,1,1,0,1,0,1,0,['jeunes'],[],[],['téléphone'],['avec mes amis'],"['svt', 'physique chimie']",['ccc'],"['permanance', 'salle de classe']",3
4e,Fille,2,1,3,0,0,0,0,2,['liberté'],[],['aucun'],['liberté'],['pause'],['classe'],"['récréation', 'allée', 'cantine', 'bancs']",[],1
4e,Garçon,2,2,2,0,2,2,1,1,['respect'],[],['bureaux'],['food truck'],[],[],"['sales de détente', 'médiathèque']",[],3
4e,Fille,2,2,2,3,2,1,2,3,[],['MUN'],['aucun'],"['adultes', 'médiathèque', 'cantine', 'horaires']",['copines'],['médiathèque'],[],['médiathèque'],0
4e,Garçon,2,2,3,0,2,2,3,3,['aucun'],[],"['salle de classe', 'la cour']","['horaires', 'pause']","['amis', 'pause']","['classe', 'relation classe']","['classe', 'cantine', 'couloirs']",['escaliers'],3
6e,Garçon,3,2,3,0,2,3,0,3,['aucun'],[],['cour de récréation'],['aucun'],['rigole'],['punir'],['la cour'],[],3
6e,Garçon,1,1,2,1,1,1,0,2,['calme'],['art et culture'],['la cour'],['cantine'],[],[],['salle de classe'],[],1
6e,Fille,2,2,3,2,2,2,2,3,['oui'],['sport'],[],[],[],[],[],[],0
6e,Fille,1,1,3,2,1,1,0,2,['respect'],['environnement et solidarité'],['salle de classe'],"['santé', 'tensions', 'stress']",['avec mes amies'],['en classe'],['toilette'],['salle de classe'],1
4e,Fille,3,2,3,1,2,2,3,2,[],['art et culture'],['aucun'],['aucun'],['pauses méridiennes'],[],['couloirs'],[],0
6e,Fille,2,2,3,1,1,2,2,2,['écoute'],['art et culture'],[],"['queue', 'vie scolaire', 'organisation']",['heures creuses'],['vie scolaire'],['ccc'],['classe'],3
5e,Garçon,2,1,3,1,0,1,0,2,[],['sport'],[],[],"['balle en mousse', 'midi et deux', 'eps']",[],['la cour'],['classe'],1
6e,Garçon,3,2,3,2,3,2,2,3,"['prévisibilité', 'transparence']",['sport'],[],"['classe', 'horaires']","['amis', 'parents', 'foot']",['amis absents'],"['la cour', 'maison']",['salle de classe'],0
6e,Garçon,1,2,2,1,1,2,0,2,['respect'],['projet pédagogiques'],[],"['ds', 'évaluation']","['finir les cours', 'vendredi', 'weekend', 'vacances']",[],['garage'],['étage'],1
6e,Fille,2,1,2,0,1,2,2,2,['compréhension'],[],['classe'],"['règles', 'compréhension', 'accompagnement']",['compris'],"['accusé à tort', 'colère des professeurs']","['salle de classe', 'permanence', 'ccc']",[],3
4e,Fille,3,2,3,2,2,2,2,3,['écoute'],['MUN'],['salle de classe'],"['clims', 'écoute', 'devoirs']","['pauses du midi', 'compagnie des amis']","[""fin de l'après-midi"", 'jours où on finit tard']",['extérieur'],['salle de classe'],0
5e,Garçon,2,2,2,2,1,2,0,0,"['savoir', 'captivant']","['art et culture', ""vie de l'établissement""]",['la cour'],"['city', 'salle de classe', 'chaises', 'couleurs', 'badge', 'carte', 'bancs', 'sacs', 'activités']","['jouer avec amis', ""cours d'arabe""]","['se sentir mal', 'fatigue', 'classe']",['classe'],[],2
5e,Garçon,3,2,3,1,1,1,3,2,"['explication', 'confiance']","[""vie de l'établissement""]",[],"['remboursement', 'communication']","['pauses déjeuner', 'jouer au foot']",['cours de svt'],"['la cour', 'cantine']",['salle de classe'],0
4e,Garçon,2,1,3,0,3,2,1,3,[],[],"['conseils', 'vie de classe']",['horaires'],"['cours détendus', 'récréation', 'vie de classes']","['cours longs', 'heures de permanence']","['classe', 'salle de classe']",[],3
4e,Fille,2,1,2,1,1,2,0,2,['aucun'],['sport'],[],['aucun'],[],['infirmerie'],[],['infirmerie'],1
6e,Fille,2,2,1,0,1,2,1,3,[],[],[],"['queue', 'cantine', 'fontaine', 'la cour', 'états']","['ccc', 'salle détente', 'avec mes amies']","['queue de la cantine', ""beaucoup d'élèves"", 'couloirs']",['ccc'],['salle de classe'],3
4e,Fille,2,2,2,1,1,1,1,2,[],[],[],[],[],[],[],[],3
